Megachile albitarsis,Sabal etonia
Bees,Helianthus mollis
Junonia coenia,Physaria filiformis
Bombus,Digitalis purpurea
Bombus bifarius,Rudbeckia occidentalis
Bombus lucorum,Phacelia campanularia
Syrphus torvus,Cypripedium parviflorum var. parviflorum
Lepidoptera,Cladrastis kentukea
Megachilidae,Trifolium pratense
Lithurgus littoralis,Opuntia macrocentra
Bombus,Pedicularis groenlandica
Andrena pensilis,Limnanthes vinculans
Bees,Iris missouriensis
Insecta,Acer pseudoplatanus
Insecta,Encelia farinosa
Lasioglossum,Cypripedium arietinum
Lasioglossum,Lonicera japonica
Bombyliidae,Minuartia glabra
Lepidoptera,Carduus nutans
Lepidoptera,Clethra acuminata
Lepidoptera,Liatris pycnostachya
Diptera,Mimulus lewisii
Bees,Monarda didyma
Ceratina,Liatris aspera
Bees,Apocynum cannabinum
Apis mellifera,Shortia galacifolia
Diptera,Eutrochium fistulosum
Nannotrigona testaceicornis,Cucumis sativus
Self pollinated,Lactuca serriola
Coleoptera,Maianthemum stellatum
Self pollinated,Teucrium chamaedrys
Bees,Eriogonum kennedyi
Bees,Dasylirion wheeleri
Bees,Diphylleia cymosa
Coleoptera,Coreopsis grandiflora
Syrphidae,Raphanus raphanistrum
Trochilidae,Ribes quercetorum
Ptilothrix sumichrasti,Kallstroemia grandiflora
Lepidoptera,Warea amplexifolia
Coleoptera,Calochortus striatus
Self pollinated,Lepidium campestre
Bees,Ilex mucronata
Bees,Oenothera filiformis
Insecta,Chaenomeles japonica
Halictus tripartitus,Trichostema lanceolatum
Andrenidae,Eschscholzia californica
Bees,Dichelostemma ida-maia
Wind,Torreya taxifolia
Coleoptera,Helenium puberulum
Bombus pensylvanicus,Asclepias sullivantii
Bees,Eriogonum umbellatum
Trochilidae,Cephalanthus occidentalis
Hymenoptera,Stachys tenuifolia
Pseudopanurgus,Rudbeckia triloba
Bombus griseocollis,Asclepias meadii
Apis mellifera,Ludwigia grandiflora
Bees,Monolopia lanceolata
Lepidoptera,Origanum vulgare
Bombus pensylvanicus,Hibiscus dasycalyx
Bombus bimaculatus,Conradina verticillata
Bees,Allium fimbriatum
Bombus vagans,Impatiens capensis
Wasps,Limonium gerberi
Diptera,Gentianella quinquefolia ssp. quinquefolia
Bombylius lancifer,Aliciella cliffordii
Bees,Trifolium fucatum
Coleoptera,Gaillardia pulchella
Insecta,Lobelia siphilitica
Chiroptera,Agave palmeri
Bees,Hibiscus brackenridgei
Apis,Rhus typhina
Bees,Ribes quercetorum
Insecta,Agastache rupestris
Bees,Bacopa monnieri
Insecta,Sisymbrium altissimum
Hymenoptera,Raphanus raphanistrum
Pieris rapae,Cirsium arvense
Syrphidae,Taraxacum officinale
Anthrax irroratus,Astrophytum asterias
Syrphidae,Jepsonia parryi
Bees,Baptisia tinctoria
Bombus vagans,Platanthera blephariglottis
Osmia,Packera paupercula
Insecta,Polemonium foliosissimum
Wind,Atriplex canescens var. gigantea
Syrphidae,Erigeron kachinensis
Ochlodes sylvanoides,Eucephalus vialis
Self pollinated,Barbarea vulgaris
Trochilidae,Oenothera suffrutescens
Diptera,Packera plattensis
Anthophila,Sonchus arvensis
Coleoptera,Calochortus albus
Noctuidae,Manfreda virginica
Lepidoptera,Abronia fragans
Bees,Eschscholzia californica
Diptera,Rhus aromatica
Lepidoptera,Lathyrus vestitus var. ochropetalus
Lepidoptera,Helenium campestre
Diptera,Amelanchier arborea
Eumenidae,Polygonella basiramia
Bees,Drymocallis glandulosa var. glandulosa
Wind,Morus alba
Bees,Astragalus kentrophyta
Self pollinated,Warea carteri
Bees,Chamaecrista fasciculata
Self pollinated,Polygonatum biflorum
Andrena,Oenothera cespitosa
Lepidoptera,Hesperis matronalis
Euphydryas editha,Layia platyglossa
Diptera,Matelea alabamensis
Coleoptera,Asclepias hirtella
Trochilidae,Dudleya greenei
Diptera,Asclepias eriocarpa
Nitidulidae,Trillium ovatum
Self pollinated,Pisum sativum
Hesperiidae,Platanthera hookeri
Bees,Salvia carduacea
Bombus,Carduus nutans
Andrena,Erythronium grandiflorum ssp. grandiflorum
Diptera,Asclepias fascicularis
Agrius,Dianthus sylvestris
Coleoptera,Actaea rubra
Bees,Collinsia heterophylla
Trochilidae,Lonicera hispidula
Syrphidae,Arctostaphylos pringlei
Coleoptera,Geum rivale
Diptera,Bidens torta
Bees,Berberis repens
Lepidoptera,Helianthus hirsutus
Insecta,Mollugo verticillata
Bombus bifarius,Asclepias welshii
Bees,Amsinckia intermedia
Halictidae,Lobelia siphilitica
Birds,Lobelia cardinalis
Bees,Pseudognaphalium ssp. canescens
Bees,Leucothoe fontanesiana
Bees,Rhus typhina
Bombus,Trillium grandiflorum
Bees,Helianthus microcephalus
Peponapis pruinosa,Cucurbita pepo
Coleoptera,Asimina tetramera
Insecta,Camassia quamash
Birds,Delissea rhytidosperma
Bees,Monardella odoratissima
Lepidoptera,Liatris elegans
Trochilidae,Salvia carduacea
Bombus,Pyrus malus
Insecta,Rhus aromatica
Apis,Phemeranthus calycinus
Coleoptera,Frasera speciosa
Lepidoptera,Mentzelia oligosperma
Bees,Oxytropis lambertii
Eristalis,Heracleum sphondylium ssp. montanum
Bees,Liatris punctata
Aphoebantus marcidus,Pholisma sonorae
Bombus pensylvanicus,Desmodium paniculatum
Bees,Actaea pachypoda
Lepidoptera,Clarkia purpurea
Bombyliidae,Bidens cosmoides
Trochilidae,Delphinium nuttallianum
Halictidae,Polygonatum commutatum
Coleoptera,Gilia capitata
Sphingidae,Aquilegia chrysantha
Bombus,Valeriana sitchensis
Megachilidae,Thymophylla tephroleuca
Selasphorus platycercus,Delphinium nuttallianum
Eucera quadricincta,Arctomecon humilis
Coleoptera,Helianthus gracilentus
Diptera,Rorippa palustris
Bombus californicus,Chloropyron palmatum
Bees,Asclepias speciosa
Bees,Phyllostegia macrophylla
Trochilidae,Aquilegia formosa
Bees,Trifolium variegatum
Diptera,Asclepias syriaca
Lithurgus,Opuntia polyacantha
Bombus nevadensis,Asclepias incarnata
Bees,Viburnum dentatum
Osmia ribifloris,Arctostaphylos pungens
Exomalopsis,Acanthomintha ilicifolia
Bees,Mezonevron kavaiense
Andrena pensilis,Lasthenia burkei
Bees,Dudleya brevifolia
Coleoptera,Trillium grandiflorum
Coleoptera,Dianella sandwicensis
Hymenoptera,Coreopsis grandiflora
Tipulidae,Parnassia palustris
Chiroptera,Manfreda brachystacha
Lepidoptera,Fragaria chiloensis
Theretra,Lonicera japonica
Bees,Dichelostemma capitatum
Bees,Aquilegia formosa
Coleoptera,Asclepias fascicularis
Lepidoptera,Brighamia insignis
Diptera,Broussaisia arguta
Lasioglossum,Ferocactus cylindraceus
Ceratina,Acanthomintha ilicifolia
Lepidoptera,Liatris pauciflora
Diptera,Wyethia helianthoides
Trochilidae,Diplacus aurantiacus
Wind,Coprosma pubens
Apidae,Trifolium pratense
Bombus vagans,Hydrophyllum canadense
Self pollinated,Capsella bursa-pastoris
Apis,Lavandula angustifolia
Eristalis,Cypripedium parviflorum
Bombus hortorum,Iris pseudacoris
Syrphidae,Brassica napus
Diptera,Sphaeralcea grossulariifolia
Apis,Centaurea scabiosa
Lepidoptera,Geranium maculatum
Coleoptera,Maianthemum racemosum
Trochilidae,Rhododendron minus var. minus
Formica neorufibarbis,Paronychia pulvinata
Birds,Hibiscus clayi
Andrena crudeni,Nemophila menziesii
Insecta,Balsamorhiza sagittata
Coleoptera,Crataegus crus-galli
Diptera,Achillea millefolium
Bees,Gentianella amarella ssp. acuta
Coleoptera,Adenostoma fasciculatum
Coleoptera,Mentzelia pectinata
Perdita boltoniae,Boltonia decurrens
Diptera,Maianthemum stellatum
Hymenoptera,Ephedra campylopoda
Bombus terrestris,Phacelia campanularia
Insecta,Peritoma lutea
Lepidoptera,Lobelia cardinalis
Palpada,Cordia multispicata
Syrphidae,Physaria filiformis
Bombus,Aconitum napellus
Syrphidae,Linnaea borealis
Bombus,Vaccinium corymbosum
Bees,Symphyotrichum oblongifolium
Bees,Verbena urticifolia
Wind,Amaranthus palmeri
Lepidoptera,Salix exigua
Anthomyiidae,Eriogonum ovalifolium var. vineum
Anthomyiidae,Ailanthus altissima
Lasioglossum comulum,Sclerocactus brevihamatus ssp. tobuschii
Lepidoptera,Arctostaphylos pungens
Coleoptera,Sedum spathulifolium
Bombyliidae,Gazania krebsiana
Diptera,Acacia etbaica
Thrips,Capsicum frutescens
Bees,Tamarix chinensis
Agapostemon tyleri,Kallstroemia grandiflora
Lepidoptera,Lilium michauxii
Colias,Vernonia baldwinii
Lepidoptera,Mirabilis jalapa
Apis mellifera,Apios priceana
Coleoptera,Acacia brevispica
Apis cerana,Impatiens cuspidata
Bees,Sanguinaria canadensis
Papilio polyxenes,Liatris aspera
Trochilidae,Actaea podocarpa
Insecta,Eriodictyon californicum
Diptera,Maianthemum racemosum
Bees,Polanisia dodecandra
Insecta,Rhodiola integrifolia ssp. leedyi
Lepidoptera,Polyscias racemosa
Trochilidae,Lilium superbum
Diptera,Dianthus sylvestris
Self pollinated,Platycodon grandiflorus
Insecta,Pseudognaphalium ssp. canescens
Coleoptera,Spiraea alba
Diptera,Myrsine lessertiana
Plenoculus davisii,Dodecahema leptoceras
Trochilidae,Monardella macrantha
Trochilidae,Primula parryi
Diptera,Linnaea borealis
Apidae,Wyethia amplexicaulis
Apis,Sonchus arvensis
Bees,Echeandia lehmannii
Lepidoptera,Asclepias tuberosa
Sphingidae,Lonicera periclymenum
Lepidoptera,Silene acaulis
Wind,Artemisia frigida
Bombyliidae,Thalictrum dasycarpum
Bees,Camassia quamash
Bees,Gentiana clausa
Bees,Salix laevigata
Thysanoptera,Nasturtium gambelii
Coleoptera,Trillium ovatum
Ctenucha,Catalpa speciosa
Bees,Amorpha canescens
Hymenoptera,Cirsium vulgare
Sphingidae,Brighamia rockii
Colias philodice,Asclepias incarnata
Agapostemon splendens,Jacquemontia reclinata
Lepidoptera,Eriogonum umbellatum
Trichiotinus texanus,Callirhoe involucrata
Diptera,Psychotria mauiensis
Brachycera,Clematis ligusticifolia
Bees,Elaeagnus angustifolia
Bees,Brodiaea pulchella
Bees,Magnolia grandiflora
Trochilidae,Cirsium vulgare
Coleoptera,Vernonia gigantea
Diptera,Raphanus sativus
Hymenoptera,Warea amplexifolia
Insecta,Lobelia yuccoides
Colletidae,Lepidium papilliferum
Bombyliidae,Bidens hawaiensis
Wasps,Cylindropuntia whipplei
Lepidoptera,Brodiaea pulchella
Insecta,Penstemon speciosus
Bombus impatiens,Galearis spectabilis
Bombus fervidus,Mimulus ringens
Self pollinated,Myosotis colensoi
Prodoxidae,Yucca angustissima
Diptera,Ptilimnium capillaceum
Hymenoptera,Alyssum maritimum
Lepidoptera,Heterotheca grandiflora
Insecta,Rudbeckia occidentalis
Bees,Eutrochium fistulosum
Ichneumonidae,Neottia cordata
Nomia nortoni,Marrubium vulgare
Insecta,Lobelia gloria-montis
Bees,Rhododendron prinophyllum
Apis cerana,Foeniculum vulgare
Megachile mendica,Conradina verticillata
Bees,Euphorbia esula
Bombylius,Ajuga reptans
Bees,Epigaea repens
Carpophilus,Magnolia tripetala
Diptera,Penstemon degeneri
Bombylius,Astragalus schmolliae
Coleoptera,Corallorhiza maculata
Birds,Erythrina sandwicensis
Apidae,Echinacea purpurea
Samea,Ageratina aromatica
Epeolus,Argemone hispida
Bees,Parnassia fimbriata
Diptera,Symphyotrichum ericoides
Bees,Hypericum densiflorum
Apidae,Apios priceana
Lepidoptera,Echinacea angustifolia
Papilio glaucus,Lilium pardalinum
Coleoptera,Crataegus mollis
Lasioglossum cressonii,Cypripedium candidum
Limenitis archippus,Asclepias incarnata
Diptera,Crataegus marshallii
Chloropidae,Eriogonum ovalifolium var. vineum
Coleoptera,Actaea pachypoda
Osmia titusi,Astragalus humillimus
Wind,Schoenoplectus acutus
Halictus ligatus,Potentilla gracilis
Bees,Petunia integrifolia
Self pollinated,Lepidium draba
Trochilidae,Castilleja lanata
Diptera,Rosa carolina
Bombus,Brodiaea filifolia
Lepidoptera,Rhus typhina
Bombus morrisoni,Actaea arizonica
Bombus californicus,Eriastrum densifolium
Plebejus melissa samuelis,Lithospermum caroliniense
Hesperiidae,Carduus nutans
Bees,Fallugia paradoxa
Bees,Solidago altissima
Lepidoptera,Wikstroemia sandwicensis
Lepidoptera,Viola nuttallii
Insecta,Argemone polyanthemos
Bees,Diospyros virginiana
Sciara,Neottia cordata
Self pollinated,Eupatorium cannabinum
Apis mellifera,Heterotheca subaxillaris
Bees,Castilleja kaibabensis
Bees,Psydrax odorata
Bees,Brickellia californica
Diptera,Psychotria greenwelliae
Dufourea calochorti,Calochortus macrocarpus var. maculosus
Syrphidae,Stachys tenuifolia
Ceratina nanula,Potentilla recta
Bees,Sidalcea malviflora
Bees,Clarkia cylindrica
Apis,Salvia farinacea
Diptera,Aronia melanocarpa
Birds,Clermontia hawaiiensis
Bees,Trillium pusillum var. ozarkanum
Bees,Bigelowia nudata
Diptera,Symplocarpus foetidus
Melissodes tristis,Opuntia macrocentra
Wasps,Argemone glauca
Bees,Catalpa speciosa
Bees,Helianthus atrorubens
Diptera,Arisaema dracontium
Eristalis tenax,Capsicum frutescens
